;Tweets;Label;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;Mulai 20 Desember 2022 pukul 24.00 WIB, siaran analog di 10 wilayah Jawa Timur-1 TV akan dimatikan. Selanjutnya, ma… ;1;mulai number desember number pukul number allcaps wib allcaps siaran analog di number wilayah jawa timur number tv akan dimatikan selanjutnya ma;['mulai', 'number', 'desember', 'number', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'analog', 'di', 'number', 'wilayah', 'jawa', 'timur', 'number', 'tv', 'akan', 'dimatikan', 'selanjutnya', 'ma'];['mulai', 'number', 'desember', 'number', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'analog', 'di', 'number', 'wilayah', 'jawa', 'timur', 'number', 'tv', 'akan', 'dimatikan', 'selanjutnya', 'sama'];['number', 'desember', 'number', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'analog', 'number', 'wilayah', 'jawa', 'timur', 'number', 'tv', 'dimatikan'];number desember number number allcaps wib allcaps siaran analog number wilayah jawa timur number tv dimatikan;number desember number number allcaps wib allcaps siar analog number wilayah jawa timur number tv mati
2;Lembaga penyiaran bersepakat melaksanakan penghentian siaran analog ke siaran tv digital pada tanggal 20 Desember 2… ;1;lembaga penyiaran bersepakat melaksanakan penghentian siaran analog ke siaran tv digital pada tanggal number desember number;['lembaga', 'penyiaran', 'bersepakat', 'melaksanakan', 'penghentian', 'siaran', 'analog', 'ke', 'siaran', 'tv', 'digital', 'pada', 'tanggal', 'number', 'desember', 'number'];['lembaga', 'penyiaran', 'bersepakat', 'melaksanakan', 'penghentian', 'siaran', 'analog', 'ke', 'siaran', 'tv', 'digital', 'pada', 'tanggal', 'number', 'desember', 'number'];['lembaga', 'penyiaran', 'bersepakat', 'melaksanakan', 'penghentian', 'siaran', 'analog', 'siaran', 'tv', 'digital', 'tanggal', 'number', 'desember', 'number'];lembaga penyiaran bersepakat melaksanakan penghentian siaran analog siaran tv digital tanggal number desember number;lembaga siar sepakat laksana henti siar analog siar tv digital tanggal number desember number
3;HARI INI TV ANALOG DIMATIKAN DI 10 WILAYAH JAWA TIMUR  Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV analog…;1;allcaps hari ini tv analog dimatikan di allcaps number allcaps wilayah jawa timur allcaps per tanggal number desember number pada pukul number allcaps wib allcaps siaran tv analog;['allcaps', 'hari', 'ini', 'tv', 'analog', 'dimatikan', 'di', 'allcaps', 'number', 'allcaps', 'wilayah', 'jawa', 'timur', 'allcaps', 'per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv', 'analog'];['allcaps', 'hari', 'ini', 'tv', 'analog', 'dimatikan', 'di', 'allcaps', 'number', 'allcaps', 'wilayah', 'jawa', 'timur', 'allcaps', 'per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv', 'analog'];['allcaps', 'tv', 'analog', 'dimatikan', 'allcaps', 'number', 'allcaps', 'wilayah', 'jawa', 'timur', 'allcaps', 'tanggal', 'number', 'desember', 'number', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv', 'analog'];allcaps tv analog dimatikan allcaps number allcaps wilayah jawa timur allcaps tanggal number desember number number allcaps wib allcaps siaran tv analog;allcaps tv analog mati allcaps number allcaps wilayah jawa timur allcaps tanggal number desember number number allcaps wib allcaps siar tv analog
4;Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV analog di 10 wilayah Jawa Timur-1 akan dimatikan. Sela… ;1;per tanggal number desember number pada pukul number allcaps wib allcaps siaran tv analog di number wilayah jawa timur number akan dimatikan sela;['per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv', 'analog', 'di', 'number', 'wilayah', 'jawa', 'timur', 'number', 'akan', 'dimatikan', 'sela'];['per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv', 'analog', 'di', 'number', 'wilayah', 'jawa', 'timur', 'number', 'akan', 'dimatikan', 'sela'];['tanggal', 'number', 'desember', 'number', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv', 'analog', 'number', 'wilayah', 'jawa', 'timur', 'number', 'dimatikan'];tanggal number desember number number allcaps wib allcaps siaran tv analog number wilayah jawa timur number dimatikan;tanggal number desember number number allcaps wib allcaps siar tv analog number wilayah jawa timur number mati
8;Tv analog dimatikan, tv sinyal digital tidak merata... Adayg cm dapet 3 channel..   Perbaiki dl sinyal siaran digit… ;0;tv analog dimatikan tv sinyal digital tidak merata repeated adayg cm dapet number channel repeated perbaiki dl sinyal siaran digit;['tv', 'analog', 'dimatikan', 'tv', 'sinyal', 'digital', 'tidak', 'merata', 'repeated', 'adayg', 'cm', 'dapet', 'number', 'channel', 'repeated', 'perbaiki', 'dl', 'sinyal', 'siaran', 'digit'];['tv', 'analog', 'dimatikan', 'tv', 'sinyal', 'digital', 'tidak', 'merata', 'repeated', 'adayg', 'cuma', 'mendapat', 'number', 'saluran', 'repeated', 'perbaiki', 'dl', 'sinyal', 'siaran', 'digit'];['tv', 'analog', 'dimatikan', 'tv', 'sinyal', 'digital', 'merata', 'repeated', 'adayg', 'number', 'saluran', 'repeated', 'perbaiki', 'dl', 'sinyal', 'siaran', 'digit'];tv analog dimatikan tv sinyal digital merata repeated adayg number saluran repeated perbaiki dl sinyal siaran digit;tv analog mati tv sinyal digital rata repeated adayg number salur repeated baik dl sinyal siar digit
10;"Beli Nijoo&amp;Digital Set Top Box TV Digital Receiver Penerima Siaran Full HD/ di Virgo ♍ shop seharga Rp450.000 disko… ";2;beli nijoo digital set top box tv digital receiver penerima siaran full hd di virgo shop seharga rp450 number disko;['beli', 'nijoo', 'digital', 'set', 'top', 'box', 'tv', 'digital', 'receiver', 'penerima', 'siaran', 'full', 'hd', 'di', 'virgo', 'shop', 'seharga', 'rp450', 'number', 'disko'];['beli', 'nijoo', 'digital', 'set', 'top', 'box', 'tv', 'digital', 'receiver', 'penerima', 'siaran', 'penuh', 'hd', 'di', 'virgo', 'shop', 'seharga', 'rp450', 'number', 'disko'];['beli', 'nijoo', 'digital', 'set', 'top', 'box', 'tv', 'digital', 'receiver', 'penerima', 'siaran', 'penuh', 'hd', 'virgo', 'shop', 'seharga', 'rp450', 'number', 'disko'];beli nijoo digital set top box tv digital receiver penerima siaran penuh hd virgo shop seharga rp450 number disko;beli nijoo digital set top box tv digital receiver terima siar penuh hd virgo shop harga rp450 number disko
11;Adapun, untuk bisa menonton TV Digital seiring adanya kebijakan ASO ini, diperlukan perangkat penerima siaran berst… ;2;adapun untuk bisa menonton tv digital seiring adanya kebijakan allcaps aso allcaps ini diperlukan perangkat penerima siaran berst;['adapun', 'untuk', 'bisa', 'menonton', 'tv', 'digital', 'seiring', 'adanya', 'kebijakan', 'allcaps', 'aso', 'allcaps', 'ini', 'diperlukan', 'perangkat', 'penerima', 'siaran', 'berst'];['adapun', 'untuk', 'bisa', 'menonton', 'tv', 'digital', 'seiring', 'adanya', 'kebijakan', 'allcaps', 'aso', 'allcaps', 'ini', 'diperlukan', 'perangkat', 'penerima', 'siaran', 'berst'];['menonton', 'tv', 'digital', 'seiring', 'kebijakan', 'allcaps', 'aso', 'allcaps', 'perangkat', 'penerima', 'siaran', 'berst'];menonton tv digital seiring kebijakan allcaps aso allcaps perangkat penerima siaran berst;tonton tv digital iring bijak allcaps aso allcaps perangkat terima siar berst
12;Suntik Mati TV Analog Jatim Hari Ini, Begini Cara Cek Sinyal TV Digital  Pemadaman siaran TV Analog atau ASO di Jaw… ;1;suntik mati tv analog jatim hari ini begini cara cek sinyal tv digital pemadaman siaran tv analog atau allcaps aso allcaps di jaw;['suntik', 'mati', 'tv', 'analog', 'jatim', 'hari', 'ini', 'begini', 'cara', 'cek', 'sinyal', 'tv', 'digital', 'pemadaman', 'siaran', 'tv', 'analog', 'atau', 'allcaps', 'aso', 'allcaps', 'di', 'jaw'];['suntik', 'mati', 'tv', 'analog', 'jatim', 'hari', 'ini', 'begini', 'cara', 'cek', 'sinyal', 'tv', 'digital', 'pemadaman', 'siaran', 'tv', 'analog', 'atau', 'allcaps', 'aso', 'allcaps', 'di', 'jaw'];['suntik', 'mati', 'tv', 'analog', 'jatim', 'cek', 'sinyal', 'tv', 'digital', 'pemadaman', 'siaran', 'tv', 'analog', 'allcaps', 'aso', 'allcaps', 'jaw'];suntik mati tv analog jatim cek sinyal tv digital pemadaman siaran tv analog allcaps aso allcaps jaw;suntik mati tv analog jatim cek sinyal tv digital madam siar tv analog allcaps aso allcaps jaw
13;Hari Ini TV Analog Dimatikan di 10 Wilayah Jawa Timur  Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV… ;1;hari ini tv analog dimatikan di number wilayah jawa timur per tanggal number desember number pada pukul number allcaps wib allcaps siaran tv;['hari', 'ini', 'tv', 'analog', 'dimatikan', 'di', 'number', 'wilayah', 'jawa', 'timur', 'per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv'];['hari', 'ini', 'tv', 'analog', 'dimatikan', 'di', 'number', 'wilayah', 'jawa', 'timur', 'per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv'];['tv', 'analog', 'dimatikan', 'number', 'wilayah', 'jawa', 'timur', 'tanggal', 'number', 'desember', 'number', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv'];tv analog dimatikan number wilayah jawa timur tanggal number desember number number allcaps wib allcaps siaran tv;tv analog mati number wilayah jawa timur tanggal number desember number number allcaps wib allcaps siar tv
14;HARI INI TV ANALOG DIMATIKAN DI 10 WILAYAH JAWA TIMUR  Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV… ;1;allcaps hari ini tv analog dimatikan di allcaps number allcaps wilayah jawa timur allcaps per tanggal number desember number pada pukul number allcaps wib allcaps siaran tv;['allcaps', 'hari', 'ini', 'tv', 'analog', 'dimatikan', 'di', 'allcaps', 'number', 'allcaps', 'wilayah', 'jawa', 'timur', 'allcaps', 'per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv'];['allcaps', 'hari', 'ini', 'tv', 'analog', 'dimatikan', 'di', 'allcaps', 'number', 'allcaps', 'wilayah', 'jawa', 'timur', 'allcaps', 'per', 'tanggal', 'number', 'desember', 'number', 'pada', 'pukul', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv'];['allcaps', 'tv', 'analog', 'dimatikan', 'allcaps', 'number', 'allcaps', 'wilayah', 'jawa', 'timur', 'allcaps', 'tanggal', 'number', 'desember', 'number', 'number', 'allcaps', 'wib', 'allcaps', 'siaran', 'tv'];allcaps tv analog dimatikan allcaps number allcaps wilayah jawa timur allcaps tanggal number desember number number allcaps wib allcaps siaran tv;allcaps tv analog mati allcaps number allcaps wilayah jawa timur allcaps tanggal number desember number number allcaps wib allcaps siar tv
