;Tweets;Analysis;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;@Almaylifi tercium bau asap knalpot motor racing;0;user tercium bau asap knalpot motor racing;['user', 'tercium', 'bau', 'asap', 'knalpot', 'motor', 'racing'];['user', 'tercium', 'bau', 'asap', 'knalpot', 'motor', 'racing'];['user', 'tercium', 'bau', 'asap', 'knalpot', 'motor', 'racing'];user tercium bau asap knalpot motor racing;user cium bau asap knalpot motor racing
1;@hanajihyo iyaa, besok yang pake knalpot racing itu aku;0;user iyaa besok yang pake knalpot racing itu aku;['user', 'iyaa', 'besok', 'yang', 'pake', 'knalpot', 'racing', 'itu', 'aku'];['user', 'iyaa', 'besok', 'yang', 'pakai', 'knalpot', 'racing', 'itu', 'aku'];['user', 'iyaa', 'besok', 'pakai', 'knalpot', 'racing'];user iyaa besok pakai knalpot racing;user iyaa besok pakai knalpot racing
2;Motor bebek pake knalpot racing 75ribu, lewat gang kecil disumpahin ibu-ibu.;-1;motor bebek pake knalpot racing 7 5 ribu lewat gang kecil disumpahin ibu ibu;['motor', 'bebek', 'pake', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'gang', 'disumpahin'];motor bebek pakai knalpot racing 7 5 ribu gang disumpahin;motor bebek pakai knalpot racing 7 5 ribu gang disumpahin
3;@SeputarTetangga Ngebutnya sih gak kenceng tapi kalau suara knalpot mobil racing ya pasti keras suaranya kakau digas..;1;user ngebutnya sih gak kenceng tapi kalau suara knalpot mobil racing ya pasti keras suaranya kakau digas repeated;['user', 'ngebutnya', 'sih', 'gak', 'kenceng', 'tapi', 'kalau', 'suara', 'knalpot', 'mobil', 'racing', 'ya', 'pasti', 'keras', 'suaranya', 'kakau', 'digas', 'repeated'];['user', 'ngebutnya', 'sih', 'tidak', 'kenceng', 'tapi', 'kalau', 'suara', 'knalpot', 'mobil', 'racing', 'iya', 'pasti', 'keras', 'suaranya', 'kakau', 'digas', 'repeated'];['user', 'ngebutnya', 'sih', 'kenceng', 'suara', 'knalpot', 'mobil', 'racing', 'iya', 'keras', 'suaranya', 'kakau', 'digas', 'repeated'];user ngebutnya sih kenceng suara knalpot mobil racing iya keras suaranya kakau digas repeated;user ngebut sih kenceng suara knalpot mobil racing iya keras suara kakau gas repeated
4;@18fesss Knalpot racing original;1;user knalpot racing original;['user', 'knalpot', 'racing', 'original'];['user', 'knalpot', 'racing', 'original'];['user', 'knalpot', 'racing', 'original'];user knalpot racing original;user knalpot racing original
5;NJING JAMET BANGET LO. PASTI KALAU NAIK MOTOR SUKANYA PAKE KNALPOT RACING. https://t.co/0gy8TRZIxZ;1;allcaps njing jamet banget lo allcaps allcaps pasti kalau naik motor sukanya pake knalpot racing allcaps;['allcaps', 'njing', 'jamet', 'banget', 'lo', 'allcaps', 'allcaps', 'pasti', 'kalau', 'naik', 'motor', 'sukanya', 'pake', 'knalpot', 'racing', 'allcaps'];['allcaps', 'njing', 'jamet', 'banget', 'lo', 'allcaps', 'allcaps', 'pasti', 'kalau', 'naik', 'motor', 'sukanya', 'pakai', 'knalpot', 'racing', 'allcaps'];['allcaps', 'njing', 'jamet', 'banget', 'lo', 'allcaps', 'allcaps', 'motor', 'sukanya', 'pakai', 'knalpot', 'racing', 'allcaps'];allcaps njing jamet banget lo allcaps allcaps motor sukanya pakai knalpot racing allcaps;allcaps njing jamet banget lo allcaps allcaps motor suka pakai knalpot racing allcaps
6;"Pekain saja dengan pekajaman 

Ready bosqueee Fiz R Galvanish STD racing https://t.co/VgAN2Iie5n";0;pekain saja dengan pekajaman ready bosque elongated fiz galvanish allcaps std allcaps racing;['pekain', 'saja', 'dengan', 'pekajaman', 'ready', 'bosque', 'elongated', 'fiz', 'galvanish', 'allcaps', 'std', 'allcaps', 'racing'];['pekain', 'saja', 'dengan', 'pekajaman', 'ready', 'bosque', 'elongated', 'fiz', 'galvanish', 'allcaps', 'std', 'allcaps', 'racing'];['pekain', 'pekajaman', 'ready', 'bosque', 'elongated', 'fiz', 'galvanish', 'allcaps', 'std', 'allcaps', 'racing'];pekain pekajaman ready bosque elongated fiz galvanish allcaps std allcaps racing;kain pekajaman ready bosque elongated fiz galvanish allcaps std allcaps racing
7;Rasanya dah kaya oven apalagi surabaya tuh panas, belom lagi kalo ujan tar suaranya ngalahin knalpot racing wkwkwkwk https://t.co/ZOZk6ut6De;1;rasanya dah kaya oven apalagi surabaya tuh panas belom lagi kalo ujan tar suaranya ngalahin knalpot racing wkwkwkwk;['rasanya', 'dah', 'kaya', 'oven', 'apalagi', 'surabaya', 'tuh', 'panas', 'belom', 'lagi', 'kalo', 'ujan', 'tar', 'suaranya', 'ngalahin', 'knalpot', 'racing', 'wkwkwkwk'];['rasanya', 'sudah', 'kaya', 'oven', 'apalagi', 'surabaya', 'itu', 'panas', 'belum', 'lagi', 'kalau', 'ujan', 'tar', 'suaranya', 'ngalahin', 'knalpot', 'racing', 'wkwkwkwk'];['kaya', 'oven', 'surabaya', 'panas', 'ujan', 'tar', 'suaranya', 'ngalahin', 'knalpot', 'racing', 'wkwkwkwk'];kaya oven surabaya panas ujan tar suaranya ngalahin knalpot racing wkwkwkwk;kaya oven surabaya panas ujan tar suara ngalahin knalpot racing wkwkwkwk
8;Ie bengkel sebelah loba motor sonic pake knalpot racing, Vibes Tasikk pisann;0;ie bengkel sebelah loba motor sonic pake knalpot racing vibes tasikk pisann;['ie', 'bengkel', 'sebelah', 'loba', 'motor', 'sonic', 'pake', 'knalpot', 'racing', 'vibes', 'tasikk', 'pisann'];['ie', 'bengkel', 'sebelah', 'loba', 'motor', 'sonic', 'pakai', 'knalpot', 'racing', 'vibes', 'tasikk', 'pisann'];['ie', 'bengkel', 'sebelah', 'loba', 'motor', 'sonic', 'pakai', 'knalpot', 'racing', 'vibes', 'tasikk', 'pisann'];ie bengkel sebelah loba motor sonic pakai knalpot racing vibes tasikk pisann;ie bengkel belah loba motor sonic pakai knalpot racing vibes tasikk pisann
9;"Hujan plus lagu sedih, emang mendukung, sempat di upload terus di hapus, sekarang upload lagi,
Suara gua urak2an ke… https://t.co/RHzRS90aLf";1;hujan plus lagu sedih emang mendukung sempat di upload terus di hapus sekarang upload lagi suara gua urak2an ke;['hujan', 'plus', 'lagu', 'sedih', 'emang', 'mendukung', 'sempat', 'di', 'upload', 'terus', 'di', 'hapus', 'sekarang', 'upload', 'lagi', 'suara', 'gua', 'urak2an', 'ke'];['hujan', 'ditambah', 'lagu', 'sedih', 'memang', 'mendukung', 'sempat', 'di', 'mengunggah', 'terus', 'di', 'hapus', 'sekarang', 'mengunggah', 'lagi', 'suara', 'saya', 'urak2an', 'ke'];['hujan', 'ditambah', 'lagu', 'sedih', 'mendukung', 'mengunggah', 'hapus', 'mengunggah', 'suara', 'urak2an'];hujan ditambah lagu sedih mendukung mengunggah hapus mengunggah suara urak2an;hujan tambah lagu sedih dukung unggah hapus unggah suara urak2an
10;@Husen_Jafar Gara2 knalpot racing;0;user gara2 knalpot racing;['user', 'gara2', 'knalpot', 'racing'];['user', 'gara2', 'knalpot', 'racing'];['user', 'gara2', 'knalpot', 'racing'];user gara2 knalpot racing;user gara2 knalpot racing
11;"anjing udah bikin telinga budeg, pelan, disalip nggak mau dasar motor pake knalpot ""racing"" ini, dibalap pake beat gw palingan juga kalah";-1;anjing udah bikin telinga budeg pelan disalip nggak mau dasar motor pake knalpot racing ini dibalap pake beat gw palingan juga kalah;['anjing', 'udah', 'bikin', 'telinga', 'budeg', 'pelan', 'disalip', 'nggak', 'mau', 'dasar', 'motor', 'pake', 'knalpot', 'racing', 'ini', 'dibalap', 'pake', 'beat', 'gw', 'palingan', 'juga', 'kalah'];['anjing', 'sudah', 'membuat', 'telinga', 'budeg', 'pelan', 'disalip', 'nggak', 'mau', 'dasar', 'motor', 'pakai', 'knalpot', 'racing', 'ini', 'dibalap', 'pakai', 'beat', 'saya', 'palingan', 'juga', 'kalah'];['anjing', 'telinga', 'budeg', 'pelan', 'disalip', 'nggak', 'dasar', 'motor', 'pakai', 'knalpot', 'racing', 'dibalap', 'pakai', 'beat', 'palingan', 'kalah'];anjing telinga budeg pelan disalip nggak dasar motor pakai knalpot racing dibalap pakai beat palingan kalah;anjing telinga budeg pelan salip nggak dasar motor pakai knalpot racing balap pakai beat paling kalah
